x [m],Pressure [kPa]
1.191825139999999963e-03,3.580136087999999859e+02
1.192210590999999995e-03,3.556894816000000219e+02
1.192980329999999934e-03,3.518311782000000107e+02
1.194132840999999985e-03,3.461250059000000192e+02
1.195665216000000057e-03,3.387847780000000171e+02
1.197574077999999983e-03,3.298186792000000196e+02
1.199854653999999970e-03,3.193503827999999771e+02
1.202502055000000038e-03,3.075272469000000228e+02
1.205509761000000003e-03,2.945056293999999752e+02
1.208871020999999950e-03,2.804530618000000004e+02
1.212577801000000108e-03,2.655957212999999797e+02
1.216621603999999950e-03,2.500633170000000121e+02
1.220992882999999895e-03,2.341608043999999893e+02
1.225681510000000080e-03,2.179425467000000083e+02
1.230676541999999995e-03,2.018324983999999915e+02
1.235966337999999968e-03,1.856296684000000141e+02
1.241538674000000056e-03,1.701672929000000067e+02
1.247380393999999917e-03,1.546570739000000003e+02
1.253477995999999943e-03,1.404534845999999959e+02
1.259817042999999926e-03,1.266807021000000049e+02
1.266383100000000083e-03,1.135666468999999950e+02
1.273160568000000076e-03,1.011951762000000059e+02
1.280133845000000015e-03,8.982522756000000186e+01
1.287286518999999994e-03,7.941399015999999733e+01
1.294602057999999934e-03,6.993587003000000379e+01
1.302063231999999945e-03,6.133343856999999844e+01
1.309652812999999912e-03,5.362051062999999829e+01
1.317353104000000075e-03,4.663632719000000293e+01
1.325146062000000105e-03,4.068730619000000104e+01
1.333013525999999930e-03,3.540504448000000082e+01
1.340926624999999985e-03,3.230218131000000170e+01
1.349445199999999966e-03,3.103230956999999890e+01
1.359237473999999959e-03,2.987282416000000040e+01
1.370493206000000016e-03,2.887763342999999949e+01
1.383430092000000012e-03,2.797084295000000154e+01
1.398298190999999963e-03,2.711352017000000103e+01
1.415384350999999898e-03,2.627243976000000103e+01
1.435017445999999973e-03,2.542187734000000177e+01
1.457574544000000104e-03,2.455715907000000087e+01
1.483487664000000079e-03,2.367702884999999924e+01
1.513251686000000040e-03,2.277088739999999945e+01
1.547432620999999965e-03,2.183757436000000141e+01
1.586678321000000022e-03,2.089168619000000149e+01
1.631728838999999941e-03,1.995247568999999999e+01
1.683428883999999988e-03,1.903527259000000171e+01
1.742742023999999936e-03,1.815231911000000053e+01
1.810765592000000007e-03,1.731646688000000012e+01
1.888747560000000013e-03,1.654164628999999920e+01
1.978104933999999798e-03,1.583907765999999917e+01
2.080443082000000068e-03,1.521950892999999994e+01
2.197577618000000170e-03,1.468878944000000075e+01
2.331555122999999854e-03,1.425145981000000006e+01
2.484677127000000166e-03,1.390751279000000018e+01
2.659521764000000177e-03,1.364821333000000081e+01
2.858966123000000054e-03,1.348352509000000055e+01
3.086204640999999985e-03,1.338890738999999996e+01
3.344765631000000058e-03,1.339813537000000032e+01
3.638520138000000004e-03,1.345329798000000032e+01
3.971683793000000025e-03,1.356045723000000081e+01
4.348805174000000030e-03,1.371549991999999918e+01
4.774741828000000042e-03,1.390109336000000084e+01
5.254611838999999861e-03,1.410229615999999986e+01
5.793726536999999933e-03,1.430104404999999979e+01
6.397490389999999777e-03,1.448909373999999950e+01
7.071269209999999847e-03,1.465365423000000078e+01
7.820223458000000183e-03,1.479811487999999997e+01
8.649101480999999564e-03,1.491433520000000001e+01
9.561997838000000152e-03,1.501118879999999933e+01
1.056208089000000051e-02,1.508517027999999982e+01
1.165129802999999992e-02,1.515178268999999922e+01
1.283007952999999993e-02,1.517688479999999984e+01
1.409705076000000029e-02,1.521561342000000039e+01
1.544879191000000061e-02,1.528717224999999935e+01
1.687966659999999910e-02,1.544051804000000061e+01
1.838174462000000120e-02,1.557500781999999973e+01
1.994485408000000112e-02,1.560883577000000066e+01
2.155675367000000134e-02,1.563386790999999931e+01
2.320346422000000089e-02,1.562944225999999937e+01
2.486971951999999986e-02,1.562061049000000068e+01
2.653950453000000070e-02,1.561077419999999982e+01
2.819666825000000099e-02,1.560274646999999959e+01
2.982554956999999840e-02,1.559177103000000031e+01
3.141154348999999901e-02,1.558369478000000008e+01
3.294160217000000057e-02,1.557678225000000083e+01
3.440462797999999794e-02,1.557046717000000058e+01
3.579169138999999805e-02,1.556506405999999920e+01
3.709616140000000090e-02,1.556008757000000031e+01
3.831367195000000281e-02,1.555589986000000025e+01
3.944197669999999906e-02,1.555235871000000003e+01
4.048075898999999728e-02,1.554930558999999946e+01
4.143133387000000334e-02,1.554681861000000076e+01
4.229638353000000212e-02,1.554429007999999968e+01
4.307962582000000179e-02,1.554235081999999935e+01
4.378556087999999763e-02,1.554055581999999980e+01
4.445404187000000229e-02,1.553879504999999916e+01
4.512252286000000001e-02,1.553724781999999927e+01
4.579100384999999773e-02,1.553549298999999984e+01
4.645948485000000322e-02,1.553372846999999979e+01
4.712796956000000342e-02,1.553206781999999997e+01
4.779645056000000197e-02,1.553041011000000005e+01
4.846493154999999969e-02,1.552885311000000002e+01
4.913341253999999741e-02,1.552758865000000021e+01
4.980189725999999845e-02,1.552652005000000024e+01
5.047037825000000311e-02,1.552559572000000010e+01
5.113885924000000083e-02,1.552487486999999966e+01
5.180734022999999855e-02,1.552414878000000087e+01
5.247582122999999710e-02,1.552318834999999986e+01
5.314430593999999730e-02,1.552202203999999952e+01
5.381278694000000279e-02,1.552071916000000051e+01
5.448126793000000051e-02,1.551919400000000060e+01
5.514974891999999823e-02,1.551750415999999966e+01
5.581823363999999926e-02,1.551590256999999973e+01
5.648671462999999698e-02,1.551450005000000054e+01
5.715519562000000164e-02,1.551315652999999983e+01
5.782367662000000019e-02,1.551185644000000075e+01
5.849215760999999791e-02,1.551073726999999991e+01
5.916064232999999895e-02,1.550977420000000073e+01
5.982912331999999667e-02,1.550874568999999958e+01
6.049760431000000133e-02,1.550762489999999971e+01
6.116608529999999905e-02,1.550656900000000071e+01
6.183456629999999760e-02,1.550564005999999928e+01
6.250304729000000226e-02,1.550467584000000087e+01
6.317152827999999998e-02,1.550359820999999982e+01
6.384001672000000349e-02,1.550255128000000049e+01
6.450849771000000121e-02,1.550162382999999977e+01
6.517697870999999976e-02,1.550072540999999937e+01
6.584545969999999748e-02,1.549970693999999938e+01
6.651394068999999520e-02,1.549860623000000004e+01
6.718242168000000680e-02,1.549763783000000039e+01
6.785090268000000535e-02,1.549695496000000006e+01
6.851938367000000307e-02,1.549651414999999943e+01
6.918786466000000079e-02,1.549613448999999932e+01
6.985635310000000431e-02,1.549571742999999913e+01
7.052483410000000286e-02,1.549529165000000042e+01
7.119331509000000058e-02,1.549484376999999924e+01
7.186179607999999830e-02,1.549427385999999984e+01
7.253027706999999602e-02,1.549345983999999987e+01
7.319875806999999457e-02,1.549240479999999920e+01
7.386723906000000617e-02,1.549129841000000063e+01
